mB;��
0.34809300;3.4809E-04
0.34812280;3.4812E-04
0.34821220;3.4821E-04
0.34821220;3.4821E-04
0.34824200;3.4824E-04
0.34827180;3.4827E-04
0.34827180;3.4827E-04
0.34833140;3.4833E-04
0.34836120;3.4836E-04
0.34836120;3.4836E-04
0.34836120;3.4836E-04
0.34836120;3.4836E-04
0.34839100;3.4839E-04
0.34839100;3.4839E-04
0.34839100;3.4839E-04
0.34839100;3.4839E-04
0.34839100;3.4839E-04
0.34839100;3.4839E-04
0.34839100;3.4839E-04
0.34839100;3.4839E-04
0.34839100;3.4839E-04
0.34842080;3.4842E-04
0.34842080;3.4842E-04
0.34842080;3.4842E-04
0.34842080;3.4842E-04
0.34842080;3.4842E-04
0.34842080;3.4842E-04
0.34842080;3.4842E-04
0.34842080;3.4842E-04
0.34842080;3.4842E-04
0.34842080;3.4842E-04
0.34845060;3.4845E-04
0.34845060;3.4845E-04
0.34848040;3.4848E-04
0.34848040;3.4848E-04
0.34851020;3.4851E-04
0.34851020;3.4851E-04
0.34851020;3.4851E-04
0.34851020;3.4851E-04
0.34851020;3.4851E-04
0.34851020;3.4851E-04
0.34851020;3.4851E-04
0.34851020;3.4851E-04
0.34851020;3.4851E-04
0.34851020;3.4851E-04
0.34851020;3.4851E-04
0.34851020;3.4851E-04
0.34851020;3.4851E-04
0.34851020;3.4851E-04
0.34851020;3.4851E-04
0.34851020;3.4851E-04
0.34851020;3.4851E-04
0.34854000;3.4854E-04
0.34854000;3.4854E-04
0.34854000;3.4854E-04
0.34854000;3.4854E-04
0.34854000;3.4854E-04
0.34854000;3.4854E-04
0.34854000;3.4854E-04
0.34854000;3.4854E-04
0.34854000;3.4854E-04
0.34854000;3.4854E-04
0.34854000;3.4854E-04
0.34854000;3.4854E-04
0.34854000;3.4854E-04
0.34854000;3.4854E-04
0.34856980;3.4857E-04
0.34856980;3.4857E-04
0.34856980;3.4857E-04
0.34856980;3.4857E-04
0.34856980;3.4857E-04
0.34856980;3.4857E-04
0.34856980;3.4857E-04
0.34856980;3.4857E-04
0.34859960;3.4860E-04
0.34859960;3.4860E-04
0.34859960;3.4860E-04
0.34859960;3.4860E-04
0.34859960;3.4860E-04
0.34862940;3.4863E-04
0.34862940;3.4863E-04
0.34862940;3.4863E-04
0.34862940;3.4863E-04
0.34862940;3.4863E-04
0.34862940;3.4863E-04
0.34862940;3.4863E-04
0.34862940;3.4863E-04
0.34862940;3.4863E-04
0.34862940;3.4863E-04
0.34862940;3.4863E-04
0.34862940;3.4863E-04
0.34865920;3.4866E-04
0.34865920;3.4866E-04
0.34865920;3.4866E-04
0.34865920;3.4866E-04
0.34865920;3.4866E-04
0.34865920;3.4866E-04
0.34865920;3.4866E-04
0.34865920;3.4866E-04
0.34865920;3.4866E-04
0.34868900;3.4869E-04
0.34868900;3.4869E-04
0.34868900;3.4869E-04
0.34868900;3.4869E-04
0.34868900;3.4869E-04
0.34868900;3.4869E-04
0.34868900;3.4869E-04
0.34868900;3.4869E-04
0.34868900;3.4869E-04
0.34868900;3.4869E-04
0.34868900;3.4869E-04
0.34868900;3.4869E-04
0.34868900;3.4869E-04
0.34871880;3.4872E-04
0.34871880;3.4872E-04
0.34871880;3.4872E-04
0.34871880;3.4872E-04
0.34871880;3.4872E-04
0.34871880;3.4872E-04
0.34871880;3.4872E-04
0.34871880;3.4872E-04
0.34871880;3.4872E-04
0.34871880;3.4872E-04
0.34871880;3.4872E-04
0.34871880;3.4872E-04
0.34871880;3.4872E-04
0.34871880;3.4872E-04
0.34871880;3.4872E-04
0.34874860;3.4875E-04
0.34874860;3.4875E-04
0.34874860;3.4875E-04
0.34874860;3.4875E-04
0.34874860;3.4875E-04
0.34874860;3.4875E-04
0.34877840;3.4878E-04
0.34877840;3.4878E-04
0.34877840;3.4878E-04
0.34877840;3.4878E-04
0.34877840;3.4878E-04
0.34877840;3.4878E-04
0.34877840;3.4878E-04
0.34880820;3.4881E-04
0.34880820;3.4881E-04
0.34880820;3.4881E-04
0.34880820;3.4881E-04
0.34880820;3.4881E-04
0.34880820;3.4881E-04
0.34880820;3.4881E-04
0.34880820;3.4881E-04
0.34880820;3.4881E-04
0.34880820;3.4881E-04
0.34880820;3.4881E-04
0.34883800;3.4884E-04
0.34883800;3.4884E-04
0.34883800;3.4884E-04
0.34883800;3.4884E-04
0.34883800;3.4884E-04
0.34883800;3.4884E-04
0.34883800;3.4884E-04
0.34886780;3.4887E-04
0.34886780;3.4887E-04
0.34886780;3.4887E-04
0.34886780;3.4887E-04
0.34889770;3.4890E-04
0.34889770;3.4890E-04
0.34889770;3.4890E-04
0.34889770;3.4890E-04
0.34889770;3.4890E-04
0.34889770;3.4890E-04
0.34889770;3.4890E-04
0.34889770;3.4890E-04
0.34892750;3.4893E-04
0.34892750;3.4893E-04
0.34892750;3.4893E-04
0.34892750;3.4893E-04
0.34892750;3.4893E-04
0.34892750;3.4893E-04
0.34892750;3.4893E-04
0.34895730;3.4896E-04
0.34895730;3.4896E-04
0.34895730;3.4896E-04
0.34895730;3.4896E-04
0.34898710;3.4899E-04
0.34898710;3.4899E-04
0.34898710;3.4899E-04
0.34898710;3.4899E-04
0.34898710;3.4899E-04
0.34901690;3.4902E-04
0.34901690;3.4902E-04
0.34904670;3.4905E-04
0.34904670;3.4905E-04
0.34904670;3.4905E-04
0.34904670;3.4905E-04
0.34904670;3.4905E-04
0.34907650;3.4908E-04
0.34907650;3.4908E-04
0.34907650;3.4908E-04
0.34910630;3.4911E-04
0.34910630;3.4911E-04
0.34910630;3.4911E-04
